Column1,title,area,price,location
0,"Prosper Plaza  DT50m2 giá 1.9 t?, DT65m2 gía 2.15",65 m² - 2 PN,"2,15 t?",Qu?n 12
1,"C?n H? Prosper Phan V?n H?n Có S? Giá Ch? 1,850 T?",54 m² - 2 PN,"1,85 t?",Qu?n 12
2,"chuyên bán c?n h? sky9, 1,2,3pn giá t? 900tr > 3ty",53 m² - 2 PN,"1,6 t?",Qu?n 9 - Thành ph? Th? ??c
3,C?n h? t?ng 33 River Gate Q.4  74m2. 2PN 2WC B3302,75 m² - 2 PN,"4,6 t?",Qu?n 4
4,DIAMOND RIVERSIDE M?I CAO C?P 3 PN 2.850 T?,84 m² - 3 PN,"2,85 t?",Qu?n 8
5,C?N H? D? ÁN CITY GATE 3  QU?N 8,52 m² - 1 PN,"1,25 t?",Qu?n 8
6,Chung c? Qu?n 2 kho?ng 70m² 2 PN,70 m² - 2 PN,2.000 ?,Qu?n 2
7,C?N H? ??P VIEW CÔNG VIÊN GIA ??NH 88M2 GIÁ 5.6 T?,88 m² - 3 PN,"5,6 t?",Qu?n Phú Nhu?n
8,BÁN C?N H? 2 PHÒNG GIÁ T?NG PHONG THU? GIÁ 4.27 T?,74 m² - 2 PN,"4,27 t?",Qu?n Tân Bình
9,C?t l? c?n 3PN view sông VinQ9 TT 900tr vào ? Ngay,81.5 m² - 3 PN,"2,75 t?",Qu?n 9
10,Chung c? Dream Home Palace 61.75m² 2PN,61.75 m² - 2 PN,"1,673 t?",Qu?n 8
11,C?N HÔ? V???N NHÂ?T ORIGAMI C?T VINHOMES VAY100%,45.6 m² - 1 PN,"2,8 t?",Qu?n 9
12,Chung c? PiCity High Park 67m² 2PN,67 m² - 2 PN,39 tri?u,Qu?n 12
13,"Chính ch? chuy?n nh??ng CC Qu?n 8 64m² 2PN, 2WC",64 m² - 2 PN,"1,65 t?",Qu?n 8
14,Chung c? Carillon 7 105m² 3PN,105 m² - 3 PN,"3,85 t?",Qu?n Tân Phú
15,Chung c? 67.61m² 2PN Q7 Sài Gòn Riverside Complex,67.61 m² - 2 PN,"2,55 t?",Qu?n 7
